timestamp[ms],x_accel_raw,y_accel_raw,z_accel_raw,x_gyro_raw,y_gyro_raw,z_gyro_raw,pressure[Pa],state,liftoff_detect,top_detect,burnout_detect,latitude[°],longitude[°]
981514,-2008,1351,1914,3707,6271,-32764,95512.125000,4,2,2,3,33.766155,130.896759
981524,-2230,1612,1864,701,6492,-32764,95512.125000,4,2,2,3,33.766155,130.896759
981534,-2937,1675,1912,-2417,4851,-32764,95512.125000,4,2,2,3,33.766155,130.896759
981544,-3046,1425,1760,-4750,3556,-32764,95512.125000,4,2,2,3,33.766155,130.896759
981554,-3012,53,1807,-6151,1322,-32764,95513.421875,4,2,2,3,33.766155,130.896759
981564,-2758,-327,1685,-8247,-974,-32764,95513.421875,4,2,2,3,33.766155,130.896759
981574,-2784,-286,1487,-7018,-3045,-32764,95513.421875,4,2,2,3,33.766155,130.896759
981584,-2812,-1557,1257,-6210,-5004,-32764,95513.421875,4,2,2,3,33.766155,130.896759
981594,-2572,-462,1108,-6501,-7452,-32764,95514.046875,4,2,2,3,33.766155,130.896759
981604,-1331,-2522,1101,-5181,-9019,-32764,95514.046875,4,2,2,3,33.766155,130.896759
981614,-1773,-2089,899,-3437,-9991,-32764,95514.046875,4,2,2,3,33.766155,130.896759
981624,-1883,-1953,711,-3112,-11018,-28288,95514.046875,4,2,2,3,33.766155,130.896759
981634,-1732,-3938,617,246,-10558,-14767,95522.250000,4,2,2,3,33.766155,130.896759
981644,-1483,-667,387,1323,-11337,-4157,95522.250000,4,2,2,3,33.766155,130.896759
981654,-906,-2379,509,1088,-11715,6015,95522.250000,4,2,2,3,33.766155,130.896759
981664,-695,-3957,400,4535,-10727,17718,95522.250000,4,2,2,3,33.766155,130.896759
981674,-1044,-985,330,3993,-11316,26389,95531.648438,4,2,2,3,33.766281,130.896820
981684,-128,-1699,330,6354,-10878,32764,95531.648438,4,2,2,3,33.766281,130.896820
981694,-982,-4948,489,5893,-12052,32764,95531.648438,4,2,2,3,33.766281,130.896820
981704,-1438,-675,304,7027,-11728,32764,95531.648438,4,2,2,3,33.766281,130.896820
